institution_name,oclc_symbol,street_address,country_name,opac_url
UALR Bowen School of Law Library,ALR,"1203 McMath Avenue, Little Rock, AR",United States,http://www.worldcat.org/wcpa/oclc/860511283?page=frame&url=https%3A%2F%2Fualrlawlibrary.on.worldcat.org%2Foclc%2F235625%26checksum%3Dff0152653391bac47e6aa37826552159&title=UALR+Bowen+School+of+Law+Library&linktype=opac&detail=ALR%3AUALR+Bowen+School+of+Law+Library%3ALaw Library&app=wcapi&id=OCPSB-
The University of West Alabama,ALT,"UWA Station 12, 1 College Drive, Livingston, AL",United States,http://www.worldcat.org/wcpa/oclc/469660075?page=frame&url=http%3A%2F%2Fjulia.uwa.edu%2Fvwebv%2Fsearch%3FsearchCode1%3DISBN%26searchType%3D2%26argType1%3Dany%26searchArg1%3D0892640219%26checksum%3Dc15c5d258d07d2ea39ec322c2cd240bd&title=The+University+of+West+Alabama&linktype=opac&detail=ALT%3AThe+University+of+West+Alabama%3AAcademic Library&app=wcapi&id=OCPSB-
"University of London Research Library Services, Institute of Advanced Legal Studies",ALX,"Charles Core House, Russell Sq, London",United Kingdom,http://www.worldcat.org/wcpa/oclc/716983528?page=frame&url=http%3A%2F%2Fcatalogue.ulrls.lon.ac.uk%2Fsearch%2Fi9780891480099%26checksum%3D667bd31c317ac0f64910716dfbc57576&title=University+of+London+Research+Library+Services%2C+Institute+of+Advanced+Legal+Studies&linktype=opac&detail=ALX%3AUniversity+of+London+Research+Library+Services%2C+Institute+of+Advanced+Legal+Studies%3AAcademic Library&app=wcapi&id=OCPSB-
American University of Armenia,AMAUA,"40 Marshal Baghramyan Avenue, Yerevan 0019, Republic of Armenia",Armenia,http://www.worldcat.org/wcpa/oclc/925070020?page=frame&url=http%3A%2F%2FA10310UK.eos-intl.eu%2FA10310UK%2Fsearch%2FAdvancedSearch.aspx%3FselectField1%3DIS%26txtSearch1%3D0892640820%26checksum%3D9aae8e64c03f0be667ae9a73f49dde83&title=American+University+of+Armenia&linktype=opac&detail=AMAUA%3AAmerican+University+of+Armenia%3AAcademic Library&app=wcapi&id=OCPSB-
Amherst College Library,AMH,"61 Quadrangle Dr., P.O. Box 5000, Amherst, MA",United States,http://www.worldcat.org/wcpa/oclc/493260870?page=frame&url=http%3A%2F%2Ffcaw.library.umass.edu%3A8991%2FF%2F%3Ffunc%3Dfind-c%26ccl_term%3DOCL%3D200725%26checksum%3D54b107a82252311c76f7bc4bd11afd39&title=Amherst+College+Library&linktype=opac&detail=AMH%3AAmherst+College+Library%3AAcademic Library&app=wcapi&id=OCPSB-
University of Arkansas at Monticello,AMK,"P. O Box 3599, Monticello, AR",United States,http://www.worldcat.org/wcpa/oclc/925070020?page=frame&url=http%3A%2F%2Fuamlibrary.uamont.edu%2Fsearch%2Fi%3FSEARCH%3D0892640820%26checksum%3D987f5df2bbb2af806fdeece757af8923&title=University+of+Arkansas+at+Monticello&linktype=opac&detail=AMK%3AUniversity+of+Arkansas+at+Monticello%3AAcademic Library&app=wcapi&id=OCPSB-
University of Montevallo,AMN,"Carmichael Library, Corner of Highland St. & Bloch St., Montevallo, AL",United States,http://www.worldcat.org/wcpa/oclc/55590864?page=frame&url=http%3A%2F%2Fhip.montevallo.edu%3A8080%2Fipac20%2Fipac.jsp%3Findex%3DISBN%26term%3D0892640340%26checksum%3Df08b9dac6a5569f587d3a5bbcc834f4c&title=University+of+Montevallo&linktype=opac&detail=AMN%3AUniversity+of+Montevallo%3AAcademic Library&app=wcapi&id=OCPSB-
Mobile Public Library,AMP,"701 Government Street, Mobile, AL",United States,http://www.worldcat.org/wcpa/oclc/1015088464?page=frame&url=http%3A%2F%2Fmobi.ent.sirsi.net%2Fclient%2Fdefault%2Fsearch%2Fresults%3Fqu%3D0231105800%26checksum%3D126526aa509d3e5ae42948c07969df00&title=Mobile+Public+Library&linktype=opac&detail=AMP%3AMobile+Public+Library%3APublic Library&app=wcapi&id=OCPSB-
Alabama State University,AMU,"915 South Jackson Street, Montgomery, AL",United States,http://www.worldcat.org/wcpa/oclc/44461841?page=frame&url=http%3A%2F%2F66.151.7.47%2Fcgi-bin%2FPwebrecon.cgi%3FBOOL1%3Dany%2Bof%2Bthese%26FLD1%3DISBN%2B%28ISBN%29%26DB%3Dlocal%26CNT%3D25%26SAB1%3D9780472086771%26checksum%3D6b2ba7442f35d2a3178ae69f3747ee30&title=Alabama+State+University&linktype=opac&detail=AMU%3AAlabama+State+University%3AAcademic Library&app=wcapi&id=OCPSB-
Antioch College,ANC,"Olive Kettering Libr, 1 Morgan Place, Yellow Springs, OH",United States,http://www.worldcat.org/wcpa/oclc/469658733?page=frame&url=http%3A%2F%2Fcat.opal-libraries.org%2Fsearch%7ES2%2Fo3010391%26checksum%3Df50258819b734905b9a2c5d40020c121&title=Antioch+College&linktype=opac&detail=ANC%3AAntioch+College%3AAcademic Library&app=wcapi&id=OCPSB-
