full_title,format_code,isbn13,year_published,bisac_status
"""Dark Pictures"" and Other Stories",PB,9780939512034,2000,Active
"Local Voices, National Issues: The Impact of Local Initiative in Japanese Policy-Making",HC,9780939512041,2000,Active
Shugendō: Essays on the Structure of Japanese Folk Religion,HC,9780939512058,2001,Out of Print
Shugendō: Essays on the Structure of Japanese Folk Religion,PB,9781929280384,2007,Active
Shanghai: A Novel by Yokomitsu Riichi,HC,9781929280001,2001,Out of Print
Shanghai: A Novel by Yokomitsu Riichi,PB,9781929280018,2001,Active
The Phonological Basis for the Comparison of Japanese and Korean,HC,9781929280025,2000,Out of Print
Individual Dignity in Modern Japanese Thought: The Evolution of the Concept of Jinkaku in Moral and Educational Discourse,HC,9781929280032,2001,Active
Takebe Ayatari: A Bunjin Bohemian in Early Modern Japan,HC,9781929280049,2004,Active
Dances with Sheep: The Quest for Identity in the Fiction of Murakami Haruki,HC,9781929280070,2002,Active
"Figures of Desire: Wordplay, Spirit Possession, Fantasy, Madness, and Mourning in Japanese Noh Plays",HC,9781929280087,2002,Active
Treatise on Epistolary Style,HC,9781929280117,2002,Active
Transformations of Sensibility: The Phenomenology of Meiji Literature,HC,9781929280124,2002,Active
"Religion and Society in Nineteenth-Century Japan: A Study of the Southern Kantō Region, Using Late Edo and Early Meiji Gazetteers",HC,9781929280131,2002,Active
Confluences: Postwar Japan and France,HC,9781929280148,2002,Active
Engendering Faith: Women and Buddhism in Premodern Japan,HC,9781929280155,2003,Active
Modality and the Japanese Language,HC,9781929280186,2003,Active
Japanese Painting and National Identity: Okakura Tenshin and His Circle,HC,9781929280179,2004,Active
State of War: The Violent Order of Fourteenth-Century Japan,HC,9781929280162,2003,Active
State of War: The Violent Order of Fourteenth-Century Japan,PB,9781929280230,2003,Active
Song of Sadness,HC,9781929280216,2003,Active
Song of Sadness,PB,9781929280223,2003,Active
"Novel Japan: Spaces of Nationhood in Early Meiji Narrative, 1870–88",HC,9781929280247,2003,Active
Ozu's Anti-Cinema,HC,9781929280261,2003,Active
Ozu's Anti-Cinema,PB,9781929280278,2003,Active
"Musashino in Tuscany: Japanese Overseas Travel Literature, 1860–1912",HC,9781929280292,2004,Active
A Wife in Musashino,HC,9781929280285,2005,Active
JAPANimals: History and Culture in Japan's Animal Life,HC,9781929280308,2005,Active
JAPANimals: History and Culture in Japan's Animal Life,PB,9781929280315,2005,Active
"Shadows on the Screen: Tanizaki Jun'ichirō on Cinema and ""Oriental"" Aesthetics",HC,9781929280322,2005,Active
"Shadows on the Screen: Tanizaki Jun'ichirō on Cinema and ""Oriental"" Aesthetics",PB,9781929280339,2005,Active
Objects of Discourse: Memoirs by Women of Heian Japan,HC,9781929280346,2005,Active
Revealed Identity: The Noh Plays of Komparu Zenchiku,HC,9781929280360,2006,Active
A Zen Life in Nature: Musō Soseki in His Gardens,HC,9781929280377,2007,Active
A Zen Life in Nature: Musō Soseki in His Gardens,PB,9781929280414,2007,Active
A Cultural History of Japanese Women's Language,HC,9781929280391,2006,Active
School of Freedom,HC,9781929280407,2006,Active
Mishima on Stage: The Black Lizard and Other Plays,HC,9781929280421,2008,Active
Mishima on Stage: The Black Lizard and Other Plays,PB,9781929280438,2008,Active
"The Bluestockings of Japan: New Woman Essays and Fiction from Seitō, 1911–16",HC,9781929280445,2007,Active
"The Bluestockings of Japan: New Woman Essays and Fiction from Seitō, 1911–16",PB,9781929280452,2008,Active
White-Haired Melody,HC,9781929280469,2008,Active
"Preachers, Poets, Women, and the Way: Izumi Shikibu and the Buddhist Literature of Medieval Japan",HC,9781929280476,2008,Active
"Preachers, Poets, Women, and the Way: Izumi Shikibu and the Buddhist Literature of Medieval Japan",PB,9781929280483,2008,Active
Daily Life and Demographics in Ancient Japan,HC,9781929280490,2009,Active
Daily Life and Demographics in Ancient Japan,PB,9781929280506,2009,Active
A Page of Madness: Cinema and Modernity in 1920s Japan,HC,9781929280513,2009,Active
A Page of Madness: Cinema and Modernity in 1920s Japan,PB,9781929280520,2009,Active
A Page of Madness: Cinema and Modernity in 1920s Japan,EB,9781929280742,2009,Active
Research Guide to Japanese Film Studies,HC,9781929280537,2009,Active
Research Guide to Japanese Film Studies,PB,9781929280544,2009,Active
Research Guide to Japanese Film Studies,EB,9781929280735,2009,Active
An Anthology of Nagauta,HC,9781929280568,2010,Active
An Anthology of Nagauta,PB,9781929280575,2010,Active
"Television, Japan, and Globalization",HC,9781929280582,2010,Active
"Television, Japan, and Globalization",PB,9781929280599,2010,Active
"Television, Japan, and Globalization",EB,9781929280766,2010,Active
"The Linguistic Turn in Contemporary Japanese Literary Studies: Politics, Language, Textuality",HC,9781929280605,2010,Active
"The Linguistic Turn in Contemporary Japanese Literary Studies: Politics, Language, Textuality",PB,9781929280612,2010,Active
Imagination without Borders: Feminist Artist Tomiyama Taeko and Social Responsibility,HC,9781929280629,2010,Active
Imagination without Borders: Feminist Artist Tomiyama Taeko and Social Responsibility,PB,9781929280636,2010,Active
The Female as Subject: Reading and Writing in Early Modern Japan,HC,9781929280643,2010,Active
The Female as Subject: Reading and Writing in Early Modern Japan,PB,9781929280650,2010,Active
The Female as Subject: Reading and Writing in Early Modern Japan,EB,9781929280759,2016,Active
Women and Public Life in Early Meiji Japan: The Development of the Feminist Movement,HC,9781929280667,2011,Active
Women and Public Life in Early Meiji Japan: The Development of the Feminist Movement,PB,9781929280674,2011,Active
Nowaki,PB,9781929280681,2011,Active
Nowaki,EB,9781929280728,2011,Active
Laughing Wolf,PB,9781929280698,2011,Active
Rethinking Japanese History,HC,9781929280704,2012,Active
Rethinking Japanese History,PB,9781929280711,2012,Active
"Conquering Demons: The ""Kirishitan,"" Japan, and the World in Early Modern Japanese Literature",HC,9781929280773,2013,Active
"Conquering Demons: The ""Kirishitan,"" Japan, and the World in Early Modern Japanese Literature",PB,9781929280780,2013,Active
"Lords of the Sea: Pirates, Violence, and Commerce in Late Medieval Japan",HC,9781929280803,2014,Active
"Lords of the Sea: Pirates, Violence, and Commerce in Late Medieval Japan",PB,9781929280810,2014,Active
Going to Court to Change Japan: Social Movements and the Law in Contemporary Japan,PB,9781929280834,2014,Active
Going to Court to Change Japan: Social Movements and the Law in Contemporary Japan,EB,9781929280841,2014,Active
The Culture of the Quake: The Great Kanto Earthquake and Taishō Japan,PB,9781929280865,2015,Active
